variable,category,subcommunity,community,prop,min_ci,max_ci
RACE,,C2_3,C2,0.040372670807453416,0.02374316096389121,0.06783998864008814
RACE,Multiple,C2_3,C2,0.012422360248447204,0.004841051210117594,0.03150053316707672
RACE,Other/Unknown,C2_3,C2,0.009316770186335404,0.003173445588212434,0.027030187097116878
RACE,White,C2_3,C2,0.006211180124223602,0.0017049497697811389,0.022360731223683164
RACE,White or Caucasian,C2_3,C2,0.003105590062111801,0.0005484093101857882,0.01737931999141351
RACE,Black or African American,C2_4,C2,0.9184060721062619,0.8918947791512394,0.9388615142515385
RACE,,C2_4,C2,0.04554079696394687,0.03079140422611022,0.0668678598556799
RACE,Multiple,C2_4,C2,0.015180265654648957,0.007711612194164353,0.029666016085156635
RACE,Other/Unknown,C2_4,C2,0.013282732447817837,0.006448648846741617,0.02716137719492505
RACE,White,C2_4,C2,0.003795066413662239,0.001041339981112185,0.013730674872282876
RACE,Hispanic,C2_4,C2,0.0018975332068311196,0.00033503115346266137,0.010669381462278079
RACE,Caucasian,C2_4,C2,0.0018975332068311196,0.00033503115346266137,0.010669381462278079
RACE,Black or African American,C2_5,C2,0.9130434782608695,0.8695106200305235,0.9430052026460233
RACE,,C2_5,C2,0.05217391304347826,0.030094015905274992,0.08896777635067946
RACE,Multiple,C2_5,C2,0.013043478260869565,0.0044456146083413535,0.03764099444667708
RACE,Other/Unknown,C2_5,C2,0.013043478260869565,0.0044456146083413535,0.03764099444667708
RACE,White,C2_5,C2,0.008695652173913044,0.0023878595588878726,0.031145951362693235
RACE,Black or African American,C2_6,C2,0.8988439306358381,0.8625642357052905,0.9263642393531357
RACE,,C2_6,C2,0.06358381502890173,0.042361037567842263,0.09439113827402443
RACE,Multiple,C2_6,C2,0.017341040462427744,0.007971066179106003,0.0373111415400446
RACE,Other/Unknown,C2_6,C2,0.011560693641618497,0.004504586933130127,0.029343874770680962
RACE,White,C2_6,C2,0.008670520231213872,0.0029530009983410373,0.025178587697800292
RACE,Black or African American,C2_9,C2,0.8571428571428571,0.8023620520518768,0.8986574720670624
RACE,,C2_9,C2,0.11822660098522167,0.0807474401792938,0.1698868616245986
RACE,White,C2_9,C2,0.009852216748768473,0.0027059476770762148,0.03520518818727602
RACE,Multiple,C2_9,C2,0.009852216748768473,0.0027059476770762148,0.03520518818727602
RACE,Other/Unknown,C2_9,C2,0.0049261083743842365,0.0008700866124296495,0.027371814436488943
RACE,Hispanic,C3_1,C3,0.48336594911937375,0.44032319449512797,0.5266569407542382
RACE,Other/Unknown,C3_1,C3,0.3131115459882583,0.2744217009892825,0.3545904068124181
RACE,White,C3_1,C3,0.07632093933463796,0.056330300990797416,0.10263432036070178
RACE,Native American,C3_1,C3,0.03131115459882583,0.01936331159915363,0.05025344042710065
RACE,,C3_1,C3,0.0273972602739726,0.016388717071622982,0.04545865501330566
RACE,Multiple,C3_1,C3,0.021526418786692758,0.012061588817774234,0.03813171335516594
RACE,Caucasian,C3_1,C3,0.019569471624266144,0.010663700019949464,0.0356449121823279
RACE,Black or African American,C3_1,C3,0.011741682974559686,0.005392050764163582,0.025377801555462494
RACE,Asian,C3_1,C3,0.007827788649706457,0.0030481140718193033,0.01995235830648113
RACE,Native Hawaiian/Other Pacific Islander,C3_1,C3,0.005870841487279843,0.0019985469401570385,0.017117235467480573
RACE,Amer. Indian/Alaska Native,C3_1,C3,0.0019569471624266144,0.00034552390392660406,0.011000878562385366
RACE,,C3_2,C3,0.8092485549132948,0.7442342310831505,0.8608270214728093
RACE,Other/Unknown,C3_2,C3,0.06358381502890173,0.03587138643311278,0.11025712631501888
RACE,White,C3_2,C3,0.04046242774566474,0.019735695662096785,0.08115459259586966
RACE,Black or African American,C3_2,C3,0.04046242774566474,0.019735695662096785,0.08115459259586966
RACE,Hispanic,C3_2,C3,0.03468208092485549,0.015990017623966596,0.07359071451145854
RACE,Multiple,C3_2,C3,0.011560693641618497,0.003176039095965432,0.04116646854929451
RACE,,C4_0,C4,0.9780033840947546,0.9627317951716179,0.9871008997844846
RACE,Asian,C4_0,C4,0.011844331641285956,0.005748915780679388,0.024244951494238838
RACE,Other/Unknown,C4_0,C4,0.005076142131979695,0.0017277853951239118,0.014817123367141534
RACE,White,C4_0,C4,0.00338409475465313,0.0009285124892131598,0.012254156644889092
RACE,Multiple,C4_0,C4,0.001692047377326565,0.00029874269429985487,0.009521686811639205
RACE,Asian,C4_15,C4,0.6976744186046512,0.5489435424759017,0.8139817205381712
RACE,Other/Unknown,C4_15,C4,0.13953488372093023,0.06555634267713946,0.2726387659442569
RACE,White,C4_15,C4,0.06976744186046512,0.024011153791962503,0.18609268553034927
RACE,Middle Eastern,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
RACE,Pacific Islander,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
RACE,Native Hawaiian/Other Pacific Islander,C4_15,C4,0.023255813953488372,0.004116981177419918,0.12059267861216882
